,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM,ST_Rev,LT_Rev,BAB,QMJ
201004,6.6718,6.9398,5.7058,10.0457,12.0676,2,5.818,5.3719,6.553,7.211,2.922,5.8813,3.244,5.4602,5.7208,3.9837,4.5478,3.3262,7.0332,4.7657,0.3386,2.6289,1.7279,-1.4683,2.6299,-1.46,-1.76,-2.51,10.96,2.32,1.21,4.23,-2.22,3.09,11.43,10.66,-2.63,6.03,4.31,4.82,2.77,-0.37,-2.21,3.81,2.86,3.82,0.46,3.89,4.21,3.82,3.2,1.85,7.31,0.95,3.85,2,5.05,2.81,1.05,1.72,0.01,3.22,-1.77,4.78,1.51,-3.54
201005,-7.5017,-5.3056,-7.0074,-9.4148,-10.4536,-4.8198,-6.28,-7.489,-9.0595,-9.8144,-6.3591,-6.3158,-6.5589,-9.6301,-9.2366,-5.1397,-8.3521,-8.7208,-6.9844,-7.9704,-7.4712,-7.8419,-9.2162,-7.5657,-10.0445,-5.37,-3.88,-7.69,-7.05,-10.12,-4.35,-5.67,-8.01,-9.99,-9.87,-10.88,-7.01,-9.89,-9.63,-10.02,-9.63,-5.65,-14.85,-10.56,-6.31,-5.91,-8.31,-7.08,-8.89,-5.98,-4.01,-5.83,-4.76,-9.12,-10.07,-7.89,0.06,-2.38,1.37,-0.22,0.01,-0.13,0.58,-2.93,-0.63,2.45
201006,-6.9989,-7.0608,-6.8192,-7.2984,-11.5687,-5.3346,-5.0763,-7.7811,-10.1099,-12.566,-5.7095,-6.103,-7.1498,-7.5309,-11.8053,-4.4154,-6.067,-7.48,-8.4454,-9.7449,-3.8675,-6.859,-3.1738,-7.3211,-9.7677,-1.97,-1.63,3.32,-8.8,-8.7,-3.24,-9.31,-1.63,-7.79,-14.55,-12.6,-13.18,-5.51,-7.04,-9.6,-6.03,-5.81,-9.48,-6.31,-0.72,-4.33,-6.78,-5.99,-2.3,-7.66,-5.2,-10.56,-5.21,-7.32,-7.58,-5.56,-2.5,-4.5,-0.21,-1.52,0.01,-3,-4.84,-5.28,2.32,2.62
201007,6.0948,5.3357,7.0835,6.0452,6.1248,6.8585,8.1903,6.2907,7.2036,6.1464,6.577,7.3062,5.0446,8.0855,7.9891,6.9327,6.4282,8.5226,8.0644,6.4438,6.993,5.8671,7.6826,7.4933,5.4387,5.04,8.37,10.74,7.85,5.29,4.22,8.34,2.15,14.24,6.81,7.75,8.28,13.84,11.78,16.32,10.34,8.27,14.17,7.51,6.79,9.74,8.23,6.81,7.64,10.84,3.2,4.65,6.9,6.62,8.04,6.93,0.09,-0.26,0.23,1.99,0.01,1.88,4.03,0.6,-2.30,-1.89
201008,-8.6752,-8.3839,-8.6325,-9.8078,-9.2155,-5.5953,-8.3768,-8.5427,-6.5994,-8.3265,-4.396,-6.1295,-8.2788,-6.6838,-6.4148,-4.3099,-4.6185,-5.4972,-4.1776,-6.1855,-4.0958,-3.7301,-2.3047,-5.2254,-8.7427,-0.46,-0.01,0.03,-1.32,-10.04,-3.96,-7.41,-1.66,-0.11,-5.5,-6.28,-8.74,-8.15,-6.46,-10.48,-8.16,1.76,-5.88,-3.28,0.41,-2.23,-5.26,-8.21,-6.06,-4.65,-7.55,-4.18,0.46,-8.38,-7.13,-4.77,-3.12,-1.96,0.61,-1.7,0.01,-0.19,1.04,-3.82,1.61,1.12
201009,11.4598,11.1508,13.4166,11.8094,10.222,15.0364,15.0146,13.3213,10.598,11.3616,12.6575,14.0189,12.2477,11.426,10.9953,12.1064,11.3236,10.8583,7.6312,9.7537,10.1916,8.1623,8.294,7.4387,7.2862,1.57,4.95,9.74,14.16,12.91,3.98,17.54,9.01,9.97,13.39,10.22,12.1,15.81,13.76,14.06,10.31,11.26,13.55,9.5,3.64,7.87,11.62,13.47,9.16,9.87,9.9,13.59,7.06,7.46,10,9.54,3.73,-3.12,-0.16,0.48,0.01,1.35,3.2,1.9,-1.19,-0.31
201010,6.5729,5.1142,5.794,5.0783,3.5681,3.539,4.2953,3.7033,3.2698,2.6191,4.4916,3.9593,4.5448,3.8483,3.1714,3.2035,4.6474,4.1812,1.7856,0.3295,4.8266,4.476,4.1237,1.8184,0.0004,5.86,1.93,5.34,12.57,7.13,4.51,3.34,2,8.18,3.28,1.58,4.64,4.58,4.75,9.72,5.96,8.75,6.8,4.29,1.86,4.8,8.01,4.16,3.49,5.35,4.95,1.32,6.04,1.97,-0.11,3.88,0.79,-2.59,1.34,-0.23,0.01,1.64,-1.33,-2.27,2.09,0.29
201011,1.5636,3.6661,5.4603,4.2276,3.4335,3.3482,4.5091,3.2953,3,4.408,3.7786,5.7085,2.447,3.7754,1.5962,4.6159,3.6987,2.7015,1.3251,-0.6537,-0.9345,2.1989,-0.7095,-0.1651,-3.3022,-1.85,2.01,-3.89,7.31,-3.16,-2.36,9.27,-3.34,0.84,-1.01,3.7,2.98,6.58,3.33,6.74,-0.45,3.04,14.44,5.25,-1.31,-1.87,-2.43,1.14,0.32,2.42,0.29,4.95,4.17,-0.34,-1.16,0.6,3.6,-0.9,0.29,1.63,0.01,2.54,-0.95,-0.83,-0.51,-0.66
201012,10.0469,8.0415,7.5878,8.6681,9.4987,7.8425,7.4388,7.8609,8.0373,10.327,6.2908,7.8666,8.7402,7.0393,8.3042,4.9828,7.0734,7.5152,8.9611,9.4169,4.4068,6.1664,6.6537,9.1544,13.9114,5.69,3.57,4.23,-0.66,8.37,5.79,1.08,5.4,7.49,4.19,12.59,13.32,10.63,5.79,8.3,4.42,13.87,14.55,9.15,3.22,6.72,7.14,5.27,4.78,3.19,6.83,3.5,0.07,10.51,11.84,6.82,0.97,3.82,-3.66,3.23,0.01,-3.19,2.37,4.82,-0.13,-4.63
201101,-2.9531,-1.8385,-1.4994,-1.0345,-0.9053,0.7525,-0.6154,2.0171,0.0249,2.4796,1.9938,1.8231,-0.4183,3.8275,-0.5908,1.8178,3.6878,1.7391,1.8649,0.7969,1.3073,3.5996,2.8173,2.5427,3.3646,-0.62,-3.62,-3.29,1.52,2.56,-1,-3.32,-0.71,1.6,-3.65,4.58,3.98,5.04,3.59,0.56,5.01,-7.48,1.38,7.17,2.23,0.04,2.48,4.92,3.06,-0.48,2.8,-1.28,-2.39,2.24,7.54,1.99,-2.4,0.83,-0.81,0.7,0.01,-0.32,-0.02,1.01,3.02,-0.83
201102,1.3723,5.2999,3.8139,4.8326,6.4286,5.6665,6.965,6.347,4.7208,5.4716,5.1197,6.3391,5.6419,5.1572,4.3091,4.6428,4.2079,4.1968,3.8385,2.4825,1.8858,3.6967,5.074,3.7809,4.2459,5.25,0.6,8.65,2.15,3.06,1.66,8.88,3.33,4.92,7.1,1.25,3.98,3.81,2.81,-2.39,2.93,1.02,-0.02,7.97,2.43,7.58,2.47,2.88,3.34,1.42,2.97,1.38,3.92,2.65,3.59,3.49,1.63,1.08,-1.92,0.94,0.01,2.03,-1.01,1.29,0.73,-1.37
201103,3.4903,4.5502,0.928,2.0679,1.658,2.5888,2.6027,3.041,1.4039,3.3482,4.8772,3.0971,2.7191,2.4012,1.7692,1.8284,3.2499,2.4797,0.8704,0.2955,-0.1259,-0.1114,1.4475,-0.3777,-2.7871,1.71,3.35,6.33,-0.53,-0.09,0.23,-4.4,2.3,2.01,4.5,2.71,0.75,4.39,1.1,1.53,2.58,0.17,8.82,1.64,0.91,1.78,0.07,-2.65,1.62,3.01,1.47,0.48,1.85,-1.49,-1.45,0.45,2.66,-1.57,1.55,-0.03,0.01,3.51,-0.79,-1.88,0.41,1.27
201104,2.613,0.8446,0.5809,1.4936,0.3156,4.2454,2.1325,2.2685,1.8885,-0.0837,4.0252,3.9463,3.2939,3.0026,1.9733,3.3924,1.7267,1.7871,2.8739,2.3315,3.6352,4.504,3.4383,0.6514,1.0266,4.27,3.9,5.39,6.04,0.12,4.93,8,6.38,4.48,4.95,0.11,0.58,1.66,0.99,1.72,4.11,-0.63,-2.79,1.47,3.99,3.42,2.64,3.3,1.76,2.93,4.06,5.2,1.4,0.65,2.16,2.9,-0.52,-2.53,1.1,-0.85,0,0.06,-1,-2.15,0.57,1.44
201105,-1.0087,-1.2009,-2.346,-4.3593,-2.7987,-1.9648,-1.3119,-0.5394,-3.5113,-3.102,-1.4884,-1.231,-1.6391,-4.2616,-0.4644,0.232,-0.5167,-1.3847,-1.2304,-0.8777,0.0271,-2.4156,-1.3492,-2.1269,-3.4361,2.37,0.49,4.5,-0.56,2.34,3.05,0.34,1.96,-3.76,2.89,-2.5,-5.35,-5.7,-6.44,-3.29,-1.83,-5.6,-6.03,-4.51,1.3,0.78,-2.28,-1.16,0.34,-0.44,1.2,0.21,4.17,-2.5,-2.94,-1.27,-0.7,-2.07,1.99,-1.5,0,-0.58,-1.27,-2.57,1.44,2.89
201106,-4.4823,-3.5756,-2.4074,-1.75,-2.4733,-0.9,-2.172,-1.3922,-0.5096,-1.5864,-0.8642,-2.0652,-1.7419,-0.9649,-3.6082,-1.5136,-2.0315,-2.94,-2.0306,-1.9402,-1.1662,-1.7893,-2.1701,-1.5178,-2.6407,-0.32,0.62,-5.6,-1.55,-1.31,-2.52,4.5,-1.83,-0.22,-6.35,-3.5,-1.89,-0.75,-0.24,-1.46,0.27,-1.76,-7.16,-2.34,-0.34,-1.23,-1.08,-3.24,-0.61,-0.47,-2.1,-1.41,1.58,-2.18,-1.93,-1.75,0.1,-0.33,2.38,-1.46,0,1.77,-1.03,-1.97,0.40,2.89
201107,-5.1411,-2.9168,-2.9655,-1.2099,-1.4558,-3.6091,-3.6302,-5.2509,-3.0079,-5.6373,-4.8051,-3.8539,-3.1432,-5.1739,-3.9894,-4.2804,-3.2701,-3.7506,-2.7852,-3.7831,0.1408,-1.7463,-1.4538,-3.9655,-5.477,-0.61,-2.97,2.86,4.04,-3.78,-2.74,2.26,-3.65,-1.83,-6.29,-6.3,-6.22,-4.76,-9.73,-9.59,-5.97,0.33,0.67,0.55,-0.35,-5.03,0.42,-1.71,-6.65,-5.09,-4.58,-0.1,-0.28,-3.9,-4.53,-2.36,-1.29,-1.23,2.41,-1.82,0,0.02,-1.08,-2.39,-0.41,0.66
201108,-12.2698,-12.1271,-8.8724,-10.4364,-9.7287,-9.3403,-8.7941,-10.352,-7.949,-10.9226,-7.421,-8.3375,-8.3879,-8.7045,-9.3124,-7.9978,-7.7235,-8.8211,-8.6714,-6.7735,-3.7475,-4.6664,-6.9631,-3.895,-11.6246,-1.8,2.24,0.33,-5.72,-7.19,0.37,-5.51,-3.09,-7.99,-7.01,-8.57,-13.2,-8.15,-7.63,-11.97,-7.3,-1.84,-19.19,-9.82,0.14,-5.45,-6.85,-7.3,-5.72,-6.98,-4.05,-3.37,-0.7,-9.13,-3.66,-5.99,-3.21,-2.44,3.2,-0.23,0.01,-0.33,-1.33,-6.36,0.79,5.96
201109,-11.3747,-12.7857,-10.7912,-10.9101,-10.3686,-10.419,-11.9318,-11.8347,-10.7002,-10.9002,-10.3191,-12.9334,-11.8282,-11.0473,-10.8268,-9.0978,-11.0662,-12.5487,-8.9114,-9.5562,-6.2302,-5.0289,-7.0642,-5.8328,-13.7443,-4.6,-3.84,-4.93,-19.22,-8.41,-3.96,-5.1,-3.96,-16.46,-14.41,-16.18,-20.49,-16.35,-13.09,-14.09,-4.86,-23.15,-30.02,-11.93,-1.63,-5.94,-4.86,-5.49,-10.21,-9.34,-8.14,-2.86,-5.32,-11.02,-4.37,-7.59,-3.74,-1.46,1.89,0.23,0,-2.57,-9.67,-5.03,2.01,6.58
