date,BAB,CMA,CMAs,CPTLT,FIN,HML,HML_DEV,HMLs,LIQ,LTREV,MGMT,MKTS,MKTSs,MOMS,PEAD,PERF,QMJ,RMW,RMWs,R_IA,R_ROE,SMB,SMBs,STREV
1989-02-28,0.010442966,0.0181,0.0137,-0.0361,-0.0007248524222888,0.0101,0.007717,0.0104,-0.00370499,0.0093,0.0048379492200006,-0.0225,-0.0058,0.0098999999999999,-0.0025116387652716,-0.0177209397931814,-0.008453646,-0.0087,-0.0074,0.015631,-0.004588,0.0271,0.0121,0.0107
1989-03-31,0.020628496,0.0072,0.001,0.0732,0.002799716767357,0.0058,-0.006732229,0.0038,-0.01005239,0.0055,0.0204382952389651,0.0157,0.0175,0.0351,0.0136546980090597,-0.0076340715911939,-0.008077613,0.0005,0.0018,0.012637,-0.0014199999999999,0.0068,-0.0033,-0.0089
1989-04-30,0.008965258,-0.0056999999999999,-0.0041,0.0087,0.0050197627190157,-0.0141999999999999,-0.021756729,-0.0086,-0.01942944,-0.0106,0.0004318619404869,0.0433,0.0485,0.0177,0.0146980001835999,0.0176941695833181,0.014415539,0.0070999999999999,0.0053,-0.002841,0.0116409999999999,-0.0078,-0.0037,-0.0065
1989-05-31,-0.004384126,-0.0008,0.0042,0.0263999999999999,-0.0028382402745763,-0.0088,-0.018209906,0.0003,-0.03793897,-0.0172,-0.0134759398471893,0.0335,0.0174,0.0152,0.0197592463407439,0.0001992428295532,0.000584856,0.0049,-0.0026,0.001016,0.011975,-0.0001,0.0081,-0.0274
1989-06-30,0.020088367,0.0156,0.0033,-0.0084,0.0429041653429891,0.0225,0.03139966,0.0042,0.0732271,-0.0065,0.0259496090959227,-0.0135,0.0338,0.0043,-0.0067432140968219,-0.0276630616324554,-0.003747424,0.0027,-0.0001,0.01593,-0.001521,-0.0109,-0.0172,0.023
1989-07-31,0.008610078,-0.0058,-0.0083,0.1308,0.02420074219203,-0.0279,-0.033203511,-0.0252,0.03174884,-0.0177,0.0091526717183827,0.072,0.0618,0.0541,0.0334596676633766,0.026495044450513,0.012684827,0.0197999999999999,0.0236,-0.004503,0.0490629999999999,-0.0415,-0.0209,0.0143
1989-08-31,0.009173361,-0.0058,-0.009,-0.0121,0.010852943183308,0.006,0.005142042,0.0109,0.00711113,0.0015,-0.0019585964239302,0.0144,0.0081,-0.0012,0.0026522389521509,0.0069603789635194,-0.001569822,0.0039,0.0042,-0.004255,0.016506,0.0048,-0.0118,0.0185
1989-09-30,0.000798967,0.005,0.0011,-0.0022,0.007458750497912,-0.0127,-0.021001908,-0.0204,-0.04838182,-0.0282,-0.0101831481166691,-0.0076,0.0278,0.034,0.0005384755948487,0.0008633394142598,0.002241026,0.0139999999999999,0.0197,0.011982,0.016439,0.0049,0.0047,0.0116999999999999
1989-10-31,0.00490805,-0.0004,-0.0089,-0.09,0.0183738265423086,-0.0111,-0.016617501,-0.0179,0.02414736,-0.0353,0.0151217249455806,-0.0366999999999999,0.0452,0.0132,-6.653775270288873e-06,0.0217002843209518,0.033041914,0.0011,0.0039,0.012994,0.014077,-0.033,-0.0132,-0.0432
1989-11-30,0.013103644,0.0141,0.0038,-0.0207,0.0114722594248471,-0.0109,-0.017825662,-0.008,-0.02475016,-0.0125,0.0149225801919223,0.0103,0.0369,0.026,0.0072243839916339,0.021403751843869,0.008265607,-0.0086,-0.0115,0.016323,0.002405,-0.0129,-0.0083,-0.0175
