date,MKTB,DRF,MKTBD,CRF,VAL,CRY,MOMB,LTREVB,DUR,HMLB,STREVB,SZE,DEF,TERM,PEADB,MOMBS,BAB,CMA,CMAs,CPTLT,FIN,HML,HML_DEV,HMLs,LIQ,LTREV,MGMT,MKTS,MKTSs,MOMS,PEAD,PERF,QMJ,RMW,RMWs,R_IA,R_ROE,SMB,SMBs,STREV
30/11/1987,0.008637955,0.004572056,0.010020332,0.001959673,0.00202845,0.007929546,-0.005476278,-0.00043932,0.005001945,0.004179762,0.003081314,-0.002878934,0.0088,-0.0023,-0.000486091,0.002127471,0.043576178,0.0068,-0.0068,-0.1026,0.019224023,0.0295,0.020712827,0.0164,-0.01692999,-0.002,0.008170327,-0.0777,-0.0261,-0.0117,-0.008110968,-0.015454068,-0.00191819,-0.0188,-0.0092,0.005934,-0.006684,0.0285,0.0366,-0.0087
31/12/1987,0.015886966,0.010460484,0.003275894,-0.003110913,-0.00484398,0.005434767,-0.009314957,-0.004283463,0.009919686,0.007761269,-0.006035893,-0.000450835,0.0047,0.013,-0.000988442,0.004767888,-0.092586887,-0.0242,-0.0444,0.0347,-0.029234709,-0.0443,-0.042756745,-0.0356,0.00835925,0.0274,-0.031392518,0.0681,0.0124,0.0587,-0.017985656,0.078929318,0.019740291,0.0296,0.0465,-0.024286,0.038977,0.0006,-0.0086,0.058
31/01/1988,0.037855176,0.029429917,-0.000468737,-0.007607654,-0.014553127,-0.003873409,-0.019791224,-0.02063068,0.023395323,0.021081991,-0.011886155,0.001816941,-0.0149,0.0627,0.00139699,0.008841599,0.037285709,0.0213,0.0545,0.0992,0.035696833,0.0501,0.084218372,0.0485,0.04415469,-0.0161,0.035801911,0.0421,0.0295,-0.0724,0.033393553,-0.072759828,-0.023127582,-0.0114,-0.0376,0.013309,-0.040763,-0.0051,-0.0034,0.0791
29/02/1988,0.011164351,0.00561246,0.003298788,0.006319884,0.001549637,0.004079932,-0.003336364,-0.003330464,-0.000738918,0.004963763,-6.48E-05,-0.000882926,0.0086,0.0023,-0.001445483,-0.003186411,-0.011782996,-0.0001,-0.0019,0.024,0.011014353,-0.0171,-0.010896032,-0.0016,0.0033043,0.0134,-0.011716534,0.0475,0.0057,-0.0147,-0.010073168,0.024884824,0.001489479,0.0156,0.0237,-0.00597,0.010296,0.0332,0.0295,0.0436
31/03/1988,-0.013104099,-0.017940972,0.009652421,0.013473989,0.011557282,0.002168555,-0.017755115,0.015204032,-0.014589397,-0.0090975,0.008098658,-0.001816578,0.0119,-0.0353,-0.002113297,-0.003146853,0.055207872,0.018,0.0238,-0.0457,0.033271692,0.0073,-0.000251392,0.017,-0.01998427,0.0124,0.000865612,-0.0227,-0.0061,0.0058,0.03154197,0.001238473,-0.009014645,-0.0025,-0.0007,0.016541,-0.021572,0.0625,0.0127,-0.0084
30/04/1988,-0.010813709,-0.017333512,0.004051724,0.007581232,0.013453664,0.006078432,-0.018889972,0.01288017,-0.014959157,-0.012678545,-0.010965423,-0.004683927,0.0011,-0.0204,0.000448301,-0.006571052,0.018548408,0.0192,0.0068,-0.0011,0.0116104,0.0167,0.004968182,0.0074,-0.02541647,0.0047,0.009305213,0.0056,-0.0065,0.0224,0.006961927,0.002545992,-0.002658467,-0.002,0.0061,0.021932,0.006511,0.0116,0.0204,0.0023
31/05/1988,-0.010795782,-0.011759697,0.005792799,0.00673908,0.009009978,0.007452361,-0.005593441,0.010667837,-0.006032101,-0.007302878,-0.009370293,-0.003986443,0.0045,-0.0148,0.000908498,0.000274699,0.009896042,0.0033,0.016,0.0613,0.017671235,0.0242,0.022602824,0.0278,-0.00520483,-0.0005,0.018554179,-0.0029,0.0101,0.0063,0.002702961,-0.013517318,0.009056733,-0.0074,-0.0127,0.005942,-0.001354,-0.0256,-0.0189,0.0065
30/06/1988,0.019501791,0.021818407,-0.004583483,-0.001976556,-0.013621185,0.007457833,0.000170395,-0.008824593,0.022722765,0.016741053,0.017445448,0.003571694,0.0011,0.0317,0.000588791,-0.006835084,-0.005386846,-0.0337,-0.0238,0.0768,-0.031154863,-0.0124,-0.003228829,-0.0095,-0.00962875,0.0186,-0.025042559,0.0479,0.0238,-0.0293,0.007472463,-0.004138626,-0.00038391,0.0147,0.0224,-0.032605,0.022112,0.0216,0.0254,0.0187
31/07/1988,-0.00635452,-0.007973101,0.010028207,0.008285288,0.006734802,0.003112192,0.004655456,0.005192385,-0.00928796,-0.005601201,0.012379485,-0.001322105,0.0059,-0.0219,0.000811382,0.001490466,0.015841753,0.0152,0.0045,0.0051,0.021491103,0.0222,0.020817301,0.0111,-0.00893175,-0.0135,0.02017314,-0.0125,0.0031,0.0066,0.010597127,-0.018978161,-0.004527339,-0.0058,-0.0041,0.011054,-0.011317,-0.0021,0,0.0336
31/08/1988,-0.003471349,-0.000618796,0.00112476,-0.003895465,-0.000269284,0.005976293,-0.00035214,0.000890621,0.005119902,0.002388734,-0.001237624,0.001676112,-0.0004,0.0007,0.002552547,0.000202735,0.014608717,0.0176,0.0159,-0.0178,0.024598646,0.0215,0.016331178,0.0208,0.03565788,-0.0196,0.027345227,-0.0331,-0.0171,0.0035,0.02073775,-0.019590622,-0.001052177,-0.0082,-0.0138,0.016719,-0.021552,-0.0003,-0.0128,-0.0193
30/09/1988,0.01500488,0.014229356,-0.006486542,-0.007605606,-0.009640736,0.002102864,-0.013124101,-0.009471147,0.012347094,0.011375836,-0.000489305,0.002187368,-0.0019,0.0286,-0.000260333,-0.003210819,-0.021348172,-0.0061,-0.0071,0.0374,0.017044739,-0.0075,-0.008120437,-0.0122,0.01488299,-0.02,-0.001753362,0.033,0.029,0.0027,-0.000576666,0.008043774,0.007139165,0.0176,0.0213,-0.0042,0.021771,-0.0136,0.0003,-0.0012
31/10/1988,0.010859898,0.013919353,-0.00492834,-0.005070955,-0.006225446,0.003003619,-0.006640664,-0.005925088,0.013428097,0.008038168,-0.014626234,0.005848381,-0.0035,0.0246,0.004900727,0.003236427,0.002099969,0.0103,-0.0027,-0.0044,0.0469413,0.0205,0.015735624,0.0049,0.02375891,-0.0025,0.020497255,0.0115,0.0395,0.0133,0.010017343,0.008534682,0.008814441,0.013,0.017,0.005013,0.00056,-0.0295,-0.0206,-0.01
