date,MKTB,DRF,MKTBD,CRF,VAL,CRY,MOMB,LTREVB,DUR,HMLB,STREVB,SZE,DEF,TERM,PEADB,MOMBS
31/07/1989,0.009636082,-0.00208573,-0.007186615,-0.01024267,-0.004762118,-0.006448382,0.002274195,-0.005041702,-7.71E-05,-0.000382888,-5.82E-06,0.001836617,-0.006,0.0167,-0.00171194,0.004287013
31/08/1989,-0.016673832,-0.008643303,0.011193686,0.011278718,0.003848704,0.008248268,-0.008736031,0.002155187,-0.005134615,-0.007118102,0.012478675,2.59E-05,0.0096,-0.0329,-0.000117559,0.000796659
30/09/1989,-0.003874471,-0.002733136,-0.000152943,-0.006689907,-0.003680659,-0.002360264,0.000540928,-0.00054836,0.002511797,-0.006367094,-0.004885392,0.001669026,0.0021,-0.0055,0.001166558,0.002764048
31/10/1989,0.011737611,0.005478526,-0.011997598,-0.01726195,-0.012606982,-0.009784526,0.015968251,-0.006581522,0.010792262,-0.000680038,0.000974061,0.003782595,-0.0103,0.0314,-0.000501224,0.002852763
30/11/1989,-0.00092638,-0.003058312,-0.003376496,-0.001968215,0.000410915,-0.001015703,0.000462536,-0.000535648,-0.001655281,-0.001346738,0.002449149,0.001054791,-0.0008,0.001,-0.001032016,0.000952037
31/12/1989,-0.004802968,-0.003857793,0.001096836,0.003030017,0.000477433,0.001357612,-0.001913635,0.002364619,-0.002528317,-0.005056476,-0.006045535,0.000521744,0.0012,-0.0075,0.002756201,0.005422479
31/01/1990,-0.018126892,-0.019152007,0.007168215,0.006395704,0.009844202,-0.000885828,0.001843928,0.001561605,-0.014672482,-0.014623832,-0.012428016,-0.001985801,0.0152,-0.0404,-0.004141827,0.003372623
28/02/1990,-0.005631941,-0.007171079,0.000435781,-0.00798029,-0.005669777,-0.005628127,0.005693623,-0.001372169,0.00106143,-0.010655891,-0.004169645,0.002874901,0.0013,-0.0082,0.001045991,0.003136598
31/03/1990,-0.003808775,-0.00237606,0.002932615,0.004695125,0.002472469,0.003227536,0.00256346,-0.001275275,-0.003297867,-0.001099824,0.000884754,-0.000903087,0.0033,-0.0101,0.001504235,-0.000335904
30/04/1990,-0.015328422,-0.015653407,0.004416655,0.010882078,0.01302161,0.002452374,0.011263837,-0.00357982,-0.019336153,-0.004411347,-0.004830896,-0.000515893,0.0011,-0.0266,-0.002080931,-0.003153061
