date,UNC,UNCf,UNCr,VIX,INFLV,INFLC,CPTL,LVL,YSP,LIQNT,EPU,EPUT,IVOL,CREDIT
31/07/1994,-0.004144467,0.00061484,-0.007950048,0.0164,0.004125708,0.000760708,0.0329,0.833387671,0.012482344,0.06230696,-0.00700883,-0.007109259,0.48758932,0.0069
31/08/1994,-0.001366179,-0.00424509,-0.003082963,-0.0319,0.003230241,-0.000894383,0.0079,0.923216133,0.011807706,0.03498219,0.00745511,0.004079726,0.499118894,0.0067
30/09/1994,0.001234826,0.003355968,0.00782776,0.0069,0.004007705,0.000488917,-0.0621,1.250186301,0.012731472,0.01569692,-0.00219603,0.005257205,0.504094344,0.0064
31/10/1994,0.001093707,-0.002971563,0.000237582,0.0358,0.004077952,0.000113034,0.0229,1.395292145,0.012939835,0.03165374,-0.01413103,0.02382024,0.513674941,0.0063
30/11/1994,0.000828318,0.00044253,0.008130051,-0.006,0.004088536,-0.000523146,-0.0579,1.608052018,0.007929855,-0.04690194,0.01527628,0.040396517,0.510830721,0.0064
31/12/1994,-0.00255946,0.00957998,-0.003465927,0.0185,0.004024086,0.00047897,-0.0088,1.636538544,0.005295691,-0.01298256,1.97E-05,-0.032838582,0.551688241,0.0064
31/01/1995,0.004931326,-0.015155213,0.003694426,-0.0244,0.004093296,-0.001787611,0.0388,1.412210744,0.006659697,0.06074538,0.01615993,0.040793988,0.583498744,0.0062
28/02/1995,0.002573148,-0.008539518,0.007079656,-0.0252,0.003826561,0.00310121,0.0619,1.137519212,0.006244915,0.02392908,-0.02163187,-0.018523193,0.571133099,0.0059
31/03/1995,0.010031779,-0.002578818,0.016117862,-0.0008,0.0026898,-0.001004284,-0.0487,1.112376178,0.005250057,-0.01318745,-0.00822645,-0.02177759,0.578984905,0.0058
30/04/1995,-0.001211141,-0.008562357,0.004911506,0.0185,0.002692304,0.000723466,0.0476,0.99274148,0.004950044,0.05006098,-0.01210484,-0.026585552,0.584922686,0.0057
31/05/1995,0.002394276,0.000583789,0.008786887,-0.0136,0.002488392,0.000352332,0.0721,0.422273718,0.002018042,0.00970296,0.00871058,-0.005301767,0.600052404,0.0055
30/06/1995,-0.001313312,0.00579121,0.001463484,0.0007,0.002666678,-0.000895461,-0.0167,0.368032562,0.00228661,-0.03699037,0.0049712,0.017317531,0.585725375,0.006
31/07/1995,-0.008301994,0.012951263,-0.001069299,-0.0064,0.002681636,0.000453397,0.0585,0.51344615,0.004620227,0.0103073,0.00336454,-0.008246746,0.583505799,0.0063
31/08/1995,-5.29E-06,0.00935914,0.008985387,0.0199,0.003164409,-0.000532432,0.0441,0.424119902,0.00358072,0.01932789,-0.01627434,-0.034271531,0.596141675,0.0062
30/09/1995,0.003912047,-0.004501089,0.006748863,-0.0227,0.003134343,0.000447361,0.0574,0.334644283,0.003089208,-0.02646718,0.00846141,0.027278064,0.598144588,0.0061
31/10/1995,-0.00767421,0.006761385,-0.015748287,0.0266,0.003380079,8.25E-05,-0.0786,0.196693379,0.002303984,0.00469288,0.00540088,0.027442322,0.589448852,0.0063
30/11/1995,0.003868283,0.013751104,-0.000476806,-0.0054,0.00169979,0.000694825,0.055,0.015476501,0.001223949,0.05727101,0.00990677,0.005563119,0.584155487,0.0066
31/12/1995,0.011519642,-0.005366769,0.00351775,-0.023,0.00184707,-0.000896059,-0.0188,-0.145262858,0.002014465,-0.03063973,-0.00618559,0.007039331,0.578237193,0.0067
31/01/1996,0.011416208,-0.012322946,0.023173809,0.0108,0.001892498,-0.001403913,0.0656,-0.184810707,0.003132376,-0.00920525,0.00631595,0.025744455,0.576747922,0.0066
29/02/1996,0.021707403,-0.003222864,0.036177389,0.0046,0.005255384,0.002371805,0.0313,0.19466182,0.004970838,0.07089108,-0.01482855,-0.017779752,0.58276556,0.0064
31/03/1996,0.010809195,0.006793327,0.016680018,0.0407,0.005259337,-0.001253962,0.0077,0.405734153,0.005830376,-0.04568257,-0.00318219,-0.023355671,0.579628192,0.0068
30/04/1996,-0.012916893,0.013855375,-0.026194956,0.0118,0.005109598,0.000425394,-0.0058,0.618158816,0.007302208,0.01699809,-0.00346179,-0.011926393,0.610132126,0.0069
31/05/1996,-0.018927954,0.024489976,-0.024794469,-0.0183,0.00541228,-0.001147939,0.0203,0.745398499,0.007939466,0.02323355,0.00023714,0.004937855,0.69078673,0.0068
30/06/1996,-0.01651661,0.021924357,-0.028672879,0.0079,0.00506117,0.000775458,-0.0272,0.654914331,0.006695767,-0.0114124,0.01175191,-0.012346771,0.672330989,0.0069
31/07/1996,-0.009086174,0.031003121,-0.016513862,-0.0308,0.004651667,6.27E-05,0.0041,0.723109861,0.006115851,-0.01543578,-0.00756887,-0.023612852,0.652580653,0.007
31/08/1996,-0.004695161,0.035440367,-0.009814984,0.0498,0.002969285,-0.000542998,0.0329,0.840953615,0.007679169,0.09047444,0.01004743,0.051997287,0.638076495,0.0072
30/09/1996,-0.000673722,-0.008806436,-0.002740996,-0.0029,0.003371148,-0.000190827,0.0457,0.654269758,0.006862099,-0.01831788,-0.00568263,-0.038072607,0.636843654,0.0069
31/10/1996,-0.002167218,-0.013629091,-0.002655746,-0.0142,0.003343712,0.001009743,0.0646,0.394687261,0.005680683,-0.03700623,-0.01377968,0.031127299,0.610119294,0.0068
30/11/1996,0.000778625,-0.002633317,0.003433761,0.0084,0.002674467,-0.000897015,0.0716,0.204997825,0.003586128,-0.01287471,0.01001271,-0.004163138,0.533694599,0.0069
31/12/1996,-0.000521375,0.005213727,-0.002557408,0.0004,0.002895531,0.0004025,-0.0316,0.44141274,0.006130824,0.02448737,-0.00423449,-0.030342905,0.5439412,0.0069
31/01/1997,0.00035821,-0.00271704,-0.001661262,0.0321,0.002759638,-0.001144454,0.0932,0.504360821,0.005524588,0.04862682,0.00499414,0.037089439,0.575435359,0.0067
28/02/1997,0.000561965,0.011780298,0.00199757,-0.0156,0.002775452,0.000746781,0.0306,0.596065938,0.005955216,-0.01784333,0.01272898,-0.0246674,0.572150245,0.0063
31/03/1997,0.002587712,0.013773585,0.00362518,0.0131,0.002186658,-0.000548662,-0.1006,0.847895193,0.006865412,0.01542272,-0.01268498,-0.019597055,0.563518054,0.0063
30/04/1997,-0.003778831,0.024629338,-0.009489705,-0.0005,0.003331918,-0.000201519,0.0705,0.719590047,0.006025584,0.02040793,0.00044198,0.001550373,0.563341736,0.0061
31/05/1997,0.002317695,0.016841828,-0.000449091,-0.0097,0.003505796,0.000982,0.0121,0.659463307,0.005831353,0.04112931,-0.00199616,0.031607838,0.572668377,0.0062
30/06/1997,-0.002280759,0.032354614,-0.000869351,0.0098,0.003375212,-0.000897599,0.0343,0.561757522,0.006033407,-0.00671706,0.00502485,-0.014032199,0.578916174,0.0061
31/07/1997,-0.000406645,-0.006756072,0.005208927,0.0015,0.002885286,-0.000796463,0.1349,0.212488123,0.003154539,0.00085949,-0.00458811,-0.007196357,0.57092913,0.0061
31/08/1997,0.006375891,0.006636421,0.012265025,0.0129,0.002624581,0.000137776,-0.0588,0.456377792,0.00426371,-0.01185292,-0.01008499,0.011291865,0.583726551,0.006
30/09/1997,0.010158235,0.000595888,0.019394441,0.0224,0.003176256,-0.001385643,0.0689,0.286618111,0.003642516,0.03278903,-0.00265032,-0.015589214,0.61310358,0.0055
31/10/1997,-0.00603012,0.010966946,-0.003691951,-0.0221,0.003517812,0.001066897,-0.0204,0.123152223,0.002046108,-0.11047537,0.02249259,0.00156744,0.635253086,0.0057
30/11/1997,-0.001338167,-0.005881238,0.00206795,0.0977,0.003242619,3.22E-05,0.0663,0.157296794,0.00151358,0.07162881,-0.00525826,0.008666083,0.613560735,0.0055
31/12/1997,0.001039253,-0.016271352,-0.002443562,-0.0608,0.001928746,-0.001140379,0.0001,0.035862901,0.001161273,0.02988966,0.01035059,-0.005349823,0.616519068,0.0056
31/01/1998,0.001724063,0.000618229,-0.002276681,-0.0259,0.002612168,0.000713222,0.0065,-0.14304101,7.65E-05,-0.07349613,0.00229615,0.042720394,0.621919577,0.0058
28/02/1998,0.007314908,0.014356783,0.002441024,-0.0206,0.002616852,2.65E-05,0.0918,-0.014202918,0.000758161,-0.00065785,-0.00222119,-0.031427831,0.624472919,0.0058
31/03/1998,-0.00137286,0.030201437,-0.002015446,-0.0217,0.003042291,-0.000557309,0.0149,-0.002422777,0.0010717,-0.00799624,-0.01043112,0.027483694,0.620159269,0.006
30/04/1998,0.001841276,0.008286097,0.006521463,0.0418,0.002598045,-0.00021784,0.0179,0.012889842,0.001418963,0.09565266,-0.00518818,-0.017211689,0.626814753,0.0064
31/05/1998,0.009620673,0.022713884,0.013883606,-0.0403,0.002104081,-0.000219098,0.0109,-0.052191353,0.000930988,0.01315258,0.00265497,-0.029205509,0.628898067,0.0061
